user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What does the word duck mean?,"['The word duck (from Anglo-Saxon dÅ«ce), meaning the bird, came from the verb ""to duck"" (from Anglo-Saxon supposed *dÅ«can) meaning ""to bend down low as if to get under something"" or ""to dive"", because of the way many species in the dabbling duck group feed by upending (compare Dutch duiken, German tauchen = ""to dive"").\n\nin some silent cartoons. a picture of a duck is used to say ""heads up"".\n\nIn many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys. From this came the expression ""a sitting duck"", which means ""an easy target"".']",to bend down low as if to get under something,It is the common name for a number of species in the Anatidae family of birds.,,,,
What are some common predators of ducks?,"['A worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.\n\nAdult ducks are fast fliers, but may be caught on the water by large aquatic predators. This can occasionally include fish such as the muskie in North America or the pike in Europe. In flight, ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.\n\nDuck is the common name for a number of species in the Anatidae family of birds. The ducks are divided between several subfamilies listed in full in the Anatidae article. Ducks are mostly aquatic birds, mostly smaller than their relatives the swans and geese, and may be found in both fresh water and sea water.']","large fish like pike, crocodilians, and other aquatic hunters.","Pike, crocodilians, herons, hawks and eagles.",,,,
How does a Mallard's tongue work?,"[""In the Mallard the tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes on for pushing struggling prey and other food down its throat.\n\nAlong the inside of the beak they have tiny rows of plates called lamellae like a whale's baleen. These let them filter water out of the side of their beaks and keep food inside.\n\n* Submission (active)   During active submission, the entire body is lowered, and the lips and ears are drawn back. Sometimes active submission is accompanied by muzzle licking, or the rapid thrusting out of the tongue and lowering of the hindquarters. The tail is placed down, or halfway or fully between the legs, and the muzzle often points up to the more dominant animal. The back may be partly arched as the submissive wolf humbles itself to its superior; a more arched back and more tucked tail indicate a greater level of submission.""]",flat plate,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",,,,
Are diving ducks heavier tha dabbling ducks?,"['Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.\n\nDabbling ducks feed on the surface of water or on land, or as deep as they can reach by up-ending without completely submerging.\n\nMost ducks have a wide flat beak adapted for dredging. They exploit a variety of food sources such as grasses, aquatic plants, fish, insects, small amphibians  Photo of a duck eating a frog , worms, and small molluscs.']",heavier than dabbling ducks.,Yes,,,,
Are adult ducks fast fliers?,"['Adult ducks are fast fliers, but may be caught on the water by large aquatic predators. This can occasionally include fish such as the muskie in North America or the pike in Europe. In flight, ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.\n\nA worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.\n\nSome duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory; those in the tropics, however, are generally not. Some ducks, particularly in Australia where rainfall is patchy and erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.']",yes.,Yes,,,,
Are ducks an accepted presence in some populated areas?,"['Ducks have become an accepted presence in populated areas. Migration patterns have changed such that many species remain in an area during the winter months. In spring and early summer ducks sometimes influence human activity through their nesting; sometimes a duck pair nests well away from water, needing a long trek to water for the hatchlings: this sometimes causes an urgent wildlife rescue operation (e.g. by the RSPCA) if the duck nested somewhere unsuitable like in a small enclosed courtyard.\n\nSome duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory; those in the tropics, however, are generally not. Some ducks, particularly in Australia where rainfall is patchy and erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.\n\nA worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.']",yes.,Yes,,,,
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"['Ducks are sometimes confused with several types of unrelated water birds with similar forms, such as loons or divers, grebes, gallinules, and coots.\n\nDuck is the common name for a number of species in the Anatidae family of birds. The ducks are divided between several subfamilies listed in full in the Anatidae article. Ducks are mostly aquatic birds, mostly smaller than their relatives the swans and geese, and may be found in both fresh water and sea water.\n\nSome duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory; those in the tropics, however, are generally not. Some ducks, particularly in Australia where rainfall is patchy and erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.']","grebes, gallinules, and coots.","loons or divers, grebes, gallinules, and coots",,,,
Why are ducklings particularly vulnerable?,"['A worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.\n\nDucks have become an accepted presence in populated areas. Migration patterns have changed such that many species remain in an area during the winter months. In spring and early summer ducks sometimes influence human activity through their nesting; sometimes a duck pair nests well away from water, needing a long trek to water for the hatchlings: this sometimes causes an urgent wildlife rescue operation (e.g. by the RSPCA) if the duck nested somewhere unsuitable like in a small enclosed courtyard.\n\nAdult ducks are fast fliers, but may be caught on the water by large aquatic predators. This can occasionally include fish such as the muskie in North America or the pike in Europe. In flight, ducks are safe from all but a few predators such as humans and the Peregrine Falcon, which regularly uses its speed and strength to catch ducks.']",their inability to fly makes them easy prey,Their inability to fly.,,,,
What are some economic uses for duck?,"['Ducks have many economic uses, being farmed for their meat, eggs, feathers, (particularly their down). They are also kept and bred by aviculturists and often displayed in zoos. All domestic ducks are descended from the wild Mallard Anas platyrhynchos, except the Muscovy Duck\n\nMost ducks have a wide flat beak adapted for dredging. They exploit a variety of food sources such as grasses, aquatic plants, fish, insects, small amphibians  Photo of a duck eating a frog , worms, and small molluscs.\n\nDucks have become an accepted presence in populated areas. Migration patterns have changed such that many species remain in an area during the winter months. In spring and early summer ducks sometimes influence human activity through their nesting; sometimes a duck pair nests well away from water, needing a long trek to water for the hatchlings: this sometimes causes an urgent wildlife rescue operation (e.g. by the RSPCA) if the duck nested somewhere unsuitable like in a small enclosed courtyard.']","farmed for their meat, eggs, feathers","Meat,eggs,feathers",,,,
What allows a duck to filter water out of the side of their beaks and keep food inside?,"[""Along the inside of the beak they have tiny rows of plates called lamellae like a whale's baleen. These let them filter water out of the side of their beaks and keep food inside.\n\nMost ducks have a wide flat beak adapted for dredging. They exploit a variety of food sources such as grasses, aquatic plants, fish, insects, small amphibians  Photo of a duck eating a frog , worms, and small molluscs.\n\nDabbling ducks feed on the surface of water or on land, or as deep as they can reach by up-ending without completely submerging.""]",lamellae.,Tiny rows of plates called lamellae,,,,
What expression is part of a conceptual framework for testing computer systems?,"['The expression is part of a conceptual framework for testing (see Duck test) of some computer systems. In a sense, this usage results from a need for \'behavioral\' analysis of an entity (virtual or otherwise) in an attempt to know what it is or whether it is what is \'claimed\' of it (by itself or another). One can even argue several philosophical points (see Operational definition). But, it\'s really in \'computing\' where entities emerge (evolve) that are not \'covered\' by theory or some known \'meta\' view where this idea has taken hold, especially in forms related to advanced techniques. (As aforementioned though, very few ducks actually do ""quack"")\n\nBriefly, it can be explained thus:\n\nJava']",Duck test.,Quacks like a duck,,,,
"Where did the expression ""a sitting duck"" come from?","['In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys. From this came the expression ""a sitting duck"", which means ""an easy target"".\n\nThe word duck (from Anglo-Saxon dÅ«ce), meaning the bird, came from the verb ""to duck"" (from Anglo-Saxon supposed *dÅ«can) meaning ""to bend down low as if to get under something"" or ""to dive"", because of the way many species in the dabbling duck group feed by upending (compare Dutch duiken, German tauchen = ""to dive"").\n\nin some silent cartoons. a picture of a duck is used to say ""heads up"".']","The word duck (from Anglo-Saxon d«ce), meaning the bird, came from the verb ""to duck""","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",,,,
Is Egypt bordered by the Gaza Strip?,"[""Egypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.\n\nEgypt is bordered by Libya to the west, Sudan to the south, and by the Gaza Strip and Israel to the east. Egypt's important role in geopolitics stems from its strategic position: a transcontinental nation, it possesses a land bridge (the Isthmus of Suez) between Africa and Asia, which in turn is traversed by a navigable waterway (the Suez Canal) that connects the Mediterranean Sea with the Indian Ocean via the Red Sea.\n\nThe Nile River in Egypt""]",yes.,yes,,,,
Is Egypt the most populated country in Africa?,"[""Egypt is one of the most populous countries in Africa. The great majority of its estimated 78 million people (2007) live near the banks of the Nile River in an area of about   where the only arable agricultural land is found. The large areas of the Sahara Desert are sparsely inhabited. About half of Egypt's residents live in urban areas, with the majority spread across the densely populated centers of greater Cairo, Alexandria and other major cities in the Nile Delta.\n\nEgypt is the most populated country in the Middle East and the second-most populous on the African continent, with an estimated 78 million people. Almost all the population is concentrated along the banks of the Nile (notably Cairo and Alexandria), in the Delta and near the Suez Canal. Approximately 80-90% of the population adheres to Islam and most of the remainder to Christianity, primarily the Coptic Orthodox denomination.    Apart from religious affiliation, Egyptians can be divided demographically into those who live in the major urban centers and the fellahin or farmers of rural villages. The last 40 years have seen a rapid increase in population due to medical advances and massive increase in agricultural productivity,  BBC NEWS | The limits of a Green Revolution?  made by the Green Revolution.  Food First/Institute for Food and Development Policy\n\nNevertheless, due to the aridity of Egypt's climate, population centres are concentrated along the narrow Nile Valley and Delta, meaning that approximately 99% of the population uses only about 5.5% of the total land area. Hamza, Waleed.  Land use and Coastal Management in the Third Countries: Egypt as a case. Accessed= 2007-06-10.""]",one of the most populous,no,,,,
Does Egypt have political influence in the Middle East?,"[""Egypt's foreign policy operates along moderate lines. Factors such as population size, historical events, military strength, diplomatic expertise and a strategic geographical position give Egypt extensive political influence in Africa and the Middle East. Cairo has been a crossroads of regional commerce and culture for centuries, and its intellectual and Islamic institutions are at the center of the region's social and cultural development.\n\nEgypt was the first Arab state to establish diplomatic relations with Israel, with the signing of the Egypt-Israel Peace Treaty in 1979. Egypt has a major influence amongst other Arab states, and has historically played an important role as a mediator in resolving disputes between various Arab states, and in the Israeli-Palestinian dispute. Most Arab states still give credence to Egypt playing that role, though its effects are often limited and recently challenged by Saudi Arabia and oil rich Gulf States. It is also reported that due to Egypt's indulgence in internal problems and its reluctance to play a positive role in regional matters had lost the country great influence in Africa and the neighbouring countries.\n\nEgypt is bordered by Libya to the west, Sudan to the south, and by the Gaza Strip and Israel to the east. Egypt's important role in geopolitics stems from its strategic position: a transcontinental nation, it possesses a land bridge (the Isthmus of Suez) between Africa and Asia, which in turn is traversed by a navigable waterway (the Suez Canal) that connects the Mediterranean Sea with the Indian Ocean via the Red Sea.""]",yes.,yes,,,,
When was the Six Day War?,"[""In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights.  It was an attempt to liberate the territory Israel had captured 6 years earlier. Both the US and the USSR intervened and a cease-fire was reached. Despite not being a complete military success, most historians agree that the October War presented Sadat with a political victory that later allowed him to pursue peace with Israel.\n\nThe Death of General Wolfe on the Plains of Abraham at Quebec in 1759, part of the Seven Years' War.\n\n* McPherson, James M., Battle Cry of Freedom: The Civil War Era (Oxford History of the United States), Oxford University Press, 1988, ISBN 0-19-503863-0.""]",not enough information,1967,,,,
What religions has Egypt outlawed?,"['The high court of Egypt has outlawed all religions and belief except Islam, Christianity and Judaism. (For more information see Egyptian Identification Card Controversy.)\n\nReligion plays a central role in most Egyptians\' lives. The rolling calls to prayer that are heard five times a day have the informal effect of regulating the pace of everything from business to entertainment. Cairo is famous for its numerous mosque minarets and church towers. This religious landscape has been marred by a record of religious extremism.    Most recently,  a December 16 2006 judgment of the Supreme Administrative Court of Egypt insisted on a clear demarcation between ""recognized religions""â\x80\x94Islam, Christianity and Judaismâ\x80\x94and all other religious beliefsâ\x80\x94thus effectively delegitimatizing and forbidding practice of all but these aforementioned religions.     This judgment has led to the requirement for communities to either commit perjury or be subjected to denial of identification cards.\n\nEgypt is predominantly Muslim, at 80-90% of the population, with the majority being adherents of the Sunni branch of Islam.  A significant number of Muslim Egyptians also follow native Sufi orders, Hoffman, Valerie J. Sufism, Mystics, and Saints in Modern Egypt. University of South Carolina Press, 1995.  and a minority of Shi\'a.']","Islam, Christianity and Judaism.","All but Christianity, Islam, and Judaism",,,,
What is the poulation of Egypt?,"['The Nile River in Egypt\n\nEgyptian farm\n\nEgypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.']",not enough information,more than 78 million,,,,
Why does most of Egypt's population live near the Nile?,"[""Egypt is one of the most populous countries in Africa. The great majority of its estimated 78 million people (2007) live near the banks of the Nile River in an area of about   where the only arable agricultural land is found. The large areas of the Sahara Desert are sparsely inhabited. About half of Egypt's residents live in urban areas, with the majority spread across the densely populated centers of greater Cairo, Alexandria and other major cities in the Nile Delta.\n\nThe Nile River in Egypt\n\nNevertheless, due to the aridity of Egypt's climate, population centres are concentrated along the narrow Nile Valley and Delta, meaning that approximately 99% of the population uses only about 5.5% of the total land area. Hamza, Waleed.  Land use and Coastal Management in the Third Countries: Egypt as a case. Accessed= 2007-06-10.""]",the only arable agricultural land is found.,"the only arable agricultural land is found there,",,,,
Are there a large number of Jews living in Egypt today?,"[""Egypt was once home to one of the oldest Jewish communities in the world. Egyptian Jews, who were mostly Karaites, partook of all aspects of Egypt's social, economic and political life; one of the most ardent Egyptian nationalists, Yaqub Sanu' (Abu Naddara), was a Jew, as were famous musician Dawoud Husni, popular singer Leila Mourad, and prominent filmmaker Togo Mizrahi. For a while, Jews from across the Ottoman Empire and Europe were attracted to Egypt due to the relative harmony that characterized the local religious landscape in the 19th and early 20th centuries. After the 1956 Suez Crisis, a great number of Jews were expelled by Gamal Abdel Nasser, many of whom holding official Egyptian citizenship. Their Egyptian citizenship was revoked and their property was confiscated. A steady stream of migration of Egyptian Jews followed, reaching a peak after the Six-Day War with Israel in 1967. Today, Jews in Egypt number less than 500. Jewish Community Council (JCC) of Cairo.  Bassatine News. 2006.\n\nEgypt is predominantly Muslim, at 80-90% of the population, with the majority being adherents of the Sunni branch of Islam.  A significant number of Muslim Egyptians also follow native Sufi orders, Hoffman, Valerie J. Sufism, Mystics, and Saints in Modern Egypt. University of South Carolina Press, 1995.  and a minority of Shi'a.\n\nEgyptians are by far the largest ethnic group in Egypt at 94% (about 72.5 million) of the total population.  Ethnic minorities include the Bedouin Arab tribes living in the eastern deserts and the Sinai Peninsula, the Berber-speaking Siwis (Amazigh) of the Siwa Oasis, and the ancient Nubian communities clustered along the Nile. There are also tribal communities of Beja concentrated in the south-eastern-most corner of the country, and a number of Dom clans mostly in the Nile Delta and Faiyum who are progressively becoming assimilated as urbanization increases.""]",Jews in Egypt number less than 500.,no,,,,
During what period was Akhenaten a Pharaoh?,"['A unified kingdom was founded circa 3150 BC by King Menes, giving rise to a series of dynasties that ruled Egypt for the next three millennia. Egyptians subsequently referred to their unified country as tawy, meaning ""two lands"",  and later kemet (Coptic: kÄ«mi), the ""black land"", a reference to the fertile black soil deposited by the Nile river. Egyptian culture flourished during this long period and remained distinctively Egyptian in its religion, arts, language and customs. The first two ruling dynasties of a unified Egypt set the stage for the Old Kingdom period, c.2700â\x88\x922200 BC., famous for its many pyramids, most notably the Third Dynasty pyramid of Djoser and the Fourth Dynasty Giza Pyramids.\n\nThe First Intermediate Period ushered in a time of political upheaval for about 150 years. Stronger Nile floods and stabilization of government, however, brought back renewed prosperity for the country in the Middle Kingdom c. 2040 BC, reaching a peak during the reign of Pharaoh Amenemhat III. A second period of disunity heralded the arrival of the first foreign ruling dynasty in Egypt, that of the Semitic Hyksos. The Hyksos invaders took over much of Lower Egypt around 1650 BC and founded a new capital at Avaris. They were driven out by an Upper Egyptian force led by Ahmose I, who founded the Eighteenth Dynasty and relocated the capital from Memphis to Thebes.\n\nThe New Kingdom (c.1550â\x88\x921070 BC) began with the Eighteenth Dynasty, marking the rise of Egypt as an international power that expanded during its greatest extension to an empire as far south as Jebel Barkal in Nubia, and included parts of the Levant in the east. This period is noted for some of the most well-known Pharaohs, including Hatshepsut, Thutmose III, Akhenaten and his wife Nefertiti, Tutankhamun and Ramesses II. The first known self-conscious expression of monotheism came during this period in the form of Atenism. Frequent contacts with other nations brought new ideas to the New Kingdom. The country was later invaded by Libyans, Nubians and Assyrians, but native Egyptians drove them out and regained control of their country.']",Eighteenth Dynasty.,The New Kingdom (c.1550&#8722;1070 BC) ,,,,
Is Egypt in Asia?,"[""Egypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.\n\nEgypt is bordered by Libya to the west, Sudan to the south, and by the Gaza Strip and Israel to the east. Egypt's important role in geopolitics stems from its strategic position: a transcontinental nation, it possesses a land bridge (the Isthmus of Suez) between Africa and Asia, which in turn is traversed by a navigable waterway (the Suez Canal) that connects the Mediterranean Sea with the Indian Ocean via the Red Sea.\n\nEgypt's foreign policy operates along moderate lines. Factors such as population size, historical events, military strength, diplomatic expertise and a strategic geographical position give Egypt extensive political influence in Africa and the Middle East. Cairo has been a crossroads of regional commerce and culture for centuries, and its intellectual and Islamic institutions are at the center of the region's social and cultural development.""]",yes,No.,,,,
Does Egypt receive the least rainfall in the world?,"[""Egypt receives the least rainfall in the world. South of Cairo, rainfall averages only around 2 to 5 mm (0.1 to 0.2 in) per year and at intervals of many years. On a very thin strip of the northern coast the rainfall can be as high as  , all between November and March. Snow falls on Sinai's mountains and some of the north coastal cities such as Damietta, Baltim, Sidi Barrany, etc. and rarely in Alexandria, frost is also known in mid-Sinai and mid-Egypt.\n\nEgypt is one of the most populous countries in Africa. The great majority of its estimated 78 million people (2007) live near the banks of the Nile River in an area of about   where the only arable agricultural land is found. The large areas of the Sahara Desert are sparsely inhabited. About half of Egypt's residents live in urban areas, with the majority spread across the densely populated centers of greater Cairo, Alexandria and other major cities in the Nile Delta.\n\nThe Nile River in Egypt""]",yes.,Yes.,,,,
Does Egypt's foreign policy operates along moderate lines?,"[""Egypt's foreign policy operates along moderate lines. Factors such as population size, historical events, military strength, diplomatic expertise and a strategic geographical position give Egypt extensive political influence in Africa and the Middle East. Cairo has been a crossroads of regional commerce and culture for centuries, and its intellectual and Islamic institutions are at the center of the region's social and cultural development.\n\nEgypt was the first Arab state to establish diplomatic relations with Israel, with the signing of the Egypt-Israel Peace Treaty in 1979. Egypt has a major influence amongst other Arab states, and has historically played an important role as a mediator in resolving disputes between various Arab states, and in the Israeli-Palestinian dispute. Most Arab states still give credence to Egypt playing that role, though its effects are often limited and recently challenged by Saudi Arabia and oil rich Gulf States. It is also reported that due to Egypt's indulgence in internal problems and its reluctance to play a positive role in regional matters had lost the country great influence in Africa and the neighbouring countries.\n\nEgypt is bordered by Libya to the west, Sudan to the south, and by the Gaza Strip and Israel to the east. Egypt's important role in geopolitics stems from its strategic position: a transcontinental nation, it possesses a land bridge (the Isthmus of Suez) between Africa and Asia, which in turn is traversed by a navigable waterway (the Suez Canal) that connects the Mediterranean Sea with the Indian Ocean via the Red Sea.""]",yes.,Yes.,,,,
Since when has Egypt been a republic?,"['Egypt has been a republic since June 18 1953. President Mohamed Hosni Mubarak has been the President of the Republic since October 14 1981, following the assassination of former-President Mohammed Anwar El-Sadat. Mubarak is currently serving his fifth term in office. He is the leader of the ruling National Democratic Party. Prime Minister Dr. Ahmed Nazif was sworn in as Prime Minister on 9 July 2004, following the resignation of Dr. Atef Ebeid from his office.\n\nFor a while Egypt and Syria formed the United Arab Republic.  When the union was dissolved, the current official name of Egypt was adopted, the Arab Republic of Egypt. Egypt\'s attachment to Arabism, however, was particularly questioned after its defeat in the 1967 Six-Day War.  Thousands of Egyptians had lost their lives and the country become disillusioned with Arab politics. Dawisha, p. 237  Nasser\'s successor Sadat, both by policy and through his peace initiative with Israel, revived an uncontested Egyptian orientation, unequivocally asserting that only Egypt was his responsibility.  The terms ""Arab"", ""Arabism"" and ""Arab unity"", save for the new official name, became conspicuously absent. Dawisha, pp. 264-65, 267  Indeed, as professor of Egyptian history P. J. Vatikiotis explains:\n\nThe new Egyptian government drafted and implemented a new constitution in 1923 based on a parliamentary representative system. Saad Zaghlul was popularly-elected as Prime Minister of Egypt in 1924.  In 1936 the Anglo-Egyptian Treaty was concluded.']",June 18 1953.,June 18 1953.,,,,
When were the Great Sphinx and the Pyramids of Giza built?,"['The Great Sphinx and the Pyramids of Giza, built during the Old Kingdom, are modern national icons that are  at the heart of Egypt\'s thriving tourism industry.\n\nEgypt is famous for its ancient civilization and some of the world\'s most famous monuments, including the Giza pyramid complex and the Great Sphinx.  The southern city of Luxor contains numerous ancient artifacts, such as the Karnak Temple and the Valley of the Kings. Egypt is widely regarded as an important political and cultural nation of the Middle East.\n\nA unified kingdom was founded circa 3150 BC by King Menes, giving rise to a series of dynasties that ruled Egypt for the next three millennia. Egyptians subsequently referred to their unified country as tawy, meaning ""two lands"",  and later kemet (Coptic: kÄ«mi), the ""black land"", a reference to the fertile black soil deposited by the Nile river. Egyptian culture flourished during this long period and remained distinctively Egyptian in its religion, arts, language and customs. The first two ruling dynasties of a unified Egypt set the stage for the Old Kingdom period, c.2700â\x88\x922200 BC., famous for its many pyramids, most notably the Third Dynasty pyramid of Djoser and the Fourth Dynasty Giza Pyramids.']",during the Old Kingdom,During the Old Kingdom.,,,,
What countries border Egypt?,"[""Egypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.\n\nEgypt is bordered by Libya to the west, Sudan to the south, and by the Gaza Strip and Israel to the east. Egypt's important role in geopolitics stems from its strategic position: a transcontinental nation, it possesses a land bridge (the Isthmus of Suez) between Africa and Asia, which in turn is traversed by a navigable waterway (the Suez Canal) that connects the Mediterranean Sea with the Indian Ocean via the Red Sea.\n\nEgypt's foreign policy operates along moderate lines. Factors such as population size, historical events, military strength, diplomatic expertise and a strategic geographical position give Egypt extensive political influence in Africa and the Middle East. Cairo has been a crossroads of regional commerce and culture for centuries, and its intellectual and Islamic institutions are at the center of the region's social and cultural development.""]","Libya, Sudan, and the Gaza Strip and Israel.","Libya, Sudan, the Gaza Strip and Israel.",,,,
What is the estimated population of Egypt?,"[""Egypt is one of the most populous countries in Africa. The great majority of its estimated 78 million people (2007) live near the banks of the Nile River in an area of about   where the only arable agricultural land is found. The large areas of the Sahara Desert are sparsely inhabited. About half of Egypt's residents live in urban areas, with the majority spread across the densely populated centers of greater Cairo, Alexandria and other major cities in the Nile Delta.\n\nEgypt is the most populated country in the Middle East and the second-most populous on the African continent, with an estimated 78 million people. Almost all the population is concentrated along the banks of the Nile (notably Cairo and Alexandria), in the Delta and near the Suez Canal. Approximately 80-90% of the population adheres to Islam and most of the remainder to Christianity, primarily the Coptic Orthodox denomination.    Apart from religious affiliation, Egyptians can be divided demographically into those who live in the major urban centers and the fellahin or farmers of rural villages. The last 40 years have seen a rapid increase in population due to medical advances and massive increase in agricultural productivity,  BBC NEWS | The limits of a Green Revolution?  made by the Green Revolution.  Food First/Institute for Food and Development Policy\n\nNevertheless, due to the aridity of Egypt's climate, population centres are concentrated along the narrow Nile Valley and Delta, meaning that approximately 99% of the population uses only about 5.5% of the total land area. Hamza, Waleed.  Land use and Coastal Management in the Third Countries: Egypt as a case. Accessed= 2007-06-10.""]",78 million people.,More than 78 million.,,,,
Does snow fall in Egypt?,"['Egypt receives the least rainfall in the world. South of Cairo, rainfall averages only around 2 to 5 mm (0.1 to 0.2 in) per year and at intervals of many years. On a very thin strip of the northern coast the rainfall can be as high as  , all between November and March. Snow falls on Sinai\'s mountains and some of the north coastal cities such as Damietta, Baltim, Sidi Barrany, etc. and rarely in Alexandria, frost is also known in mid-Sinai and mid-Egypt.\n\nThe Nile River in Egypt\n\nApart from the Nile Valley, the majority of Egypt\'s landscape is a sandy desert. The winds blowing can create sand dunes over   high. Egypt includes parts of the Sahara Desert and of the Libyan Desert. These deserts were referred to as the ""red land"" in ancient Egypt, and they protected the Kingdom of the Pharaohs from western threats.']",yes.,Yes.,,,,
When did organized agriculture appear in the Nile Valley?,"['The Nile has been a site of continuous human habitation since at least the Paleolithic era. Evidence of this appears in the form of artifacts and rock carvings along the Nile terraces and in the desert oases. In the 10th millennium BC, a culture of hunter-gatherers and fishers replaced a grain-grinding culture. Climate changes and/or overgrazing around 8000 BC began to desiccate the pastoral lands of Egypt,  forming the Sahara. Early tribal peoples migrated to the Nile River where they developed a settled agricultural economy and more centralized society. Midant-Reynes, BÃ©atrix. The Prehistory of Egypt: From the First Egyptians to the First Kings. Oxford: Blackwell Publishers.\n\nThe Nile River in Egypt\n\nEgyptian farm']",not enough information,6000 BC.,,,,
